# Optimization level: -O3

bench                   iters=0      iters=1     iters=11       per-iter
------------------ ------------ ------------ ------------ --------------
mldsa44                     178      2120733     23326279        2120554
mldsa65                     178      3548086     39027158        3547907
mldsa87                     178      6078000     66856216        6077821
mldsa-pqm4-44               178      1270938     13978534        1270759
mldsa-pqm4-65               178      2161597     23775783        2161418
mldsa-pqm4-87               178      3758760     41344576        3758581
dilithium2-fkd          3010356      4346071     17703205        1335713
p256-m                      178     12320611    135524968       12320435
p256-oreparaz               178      8122635     89347231        8122459
sb-mldsa44-v1               178      1261734     13877290        1261555
sb-mldsa44-v2            859748      1270041      5372967         410292
sb-mldsa44-v3            904090      1272110      4952306         368019
sb-mldsa44-v4           1003719      1272140      3956346         268420
sb-mldsa44-v5           1004371      1272316      3951762         267944
sb-mldsa44-v6           1004371      1269832      3924438         265460
sb-mldsa44-v7           1004371      1260931      3826527         256559
sb-mldsa44-v8           1004371      1252160      3730046         247788
sb-mldsa44-v9           1004371      1246748      3670514         242376
sb-mldsa44-v10          1004371      1246128      3663694         241756
